City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,taipei,25.0478,121.5319,77.02,70,75,9.22,TW,1698615728
261,talnakh,69.4865,88.3972,-0.8,93,60,3.4,RU,1698615728
262,georgetown,5.4112,100.3354,78.03,97,20,3.44,MY,1698615728
263,bossier city,32.516,-93.7321,82.89,69,40,11.5,US,1698615559
264,metlili chaamba,32.2667,3.6333,79.74,16,40,4.61,DZ,1698615729
265,stephenville,32.2207,-98.2023,41.13,93,100,18.41,US,1698615729
266,tsiombe,-25.3,45.4833,71.82,84,0,4.27,MG,1698615729
267,naze,28.3667,129.4833,63.52,71,23,6.02,JP,1698615729
268,namibe,-15.1961,12.1522,68.14,85,14,1.9,AO,1698615462
269,dubbo,-32.25,148.6167,64.53,42,1,5.75,AU,1698615730
270,chulakkurgan,43.765,69.1814,60.13,51,86,4.29,KZ,1698615730
271,ravar,31.2656,56.8055,66.6,39,1,3.53,IR,1698615730
272,dudinka,69.4058,86.1778,1.67,98,64,4.0,RU,1698615520
273,bodrum,37.0383,27.4292,71.08,83,99,5.82,TR,1698615652
274,muntok,-2.0667,105.1833,77.68,82,41,7.2,ID,1698615731
275,qulsary,46.9531,54.0198,53.17,66,9,15.95,KZ,1698615731
276,galle,6.0367,80.217,76.33,87,98,3.83,LK,1698615475
277,rakops,-21.0167,24.3333,76.53,52,78,18.81,BW,1698615731
278,pyt-yakh,60.7499,72.8582,15.66,92,12,4.81,RU,1698615731
279,happy valley-goose bay,53.3168,-60.3315,34.11,51,75,25.32,CA,1698615731
280,tulun,54.5611,100.5792,16.09,72,26,3.71,RU,1698615732
281,laojunmiao,39.8333,97.7333,46.27,28,78,7.0,CN,1698615732
282,nguigmi,14.2495,13.1092,84.94,23,57,10.42,NE,1698615732
283,bor,56.3567,44.0669,32.0,94,100,11.39,RU,1698615732
284,afua,-0.1567,-50.3867,81.95,69,8,12.55,BR,1698615732
285,mbanza kongo,-6.267,14.2401,74.08,89,82,3.87,AO,1698615732
286,ugoofaaru,5.6667,73.0,79.84,83,100,17.45,MV,1698615733
287,west plains,36.7281,-91.8524,45.43,86,100,9.22,US,1698615733
288,pascagoula,30.3658,-88.5561,81.32,66,0,8.05,US,1698615733
289,la ronge,55.1001,-105.2842,30.45,69,75,18.41,CA,1698615733
290,saint-philippe,-21.3585,55.7679,76.59,87,47,10.4,RE,1698615733
291,wasaga beach,44.5168,-80.0164,46.8,72,100,4.43,CA,1698615733
292,la nucia,38.6137,-0.1269,62.38,61,99,6.76,ES,1698615734
293,kuanda,56.3161,116.0806,12.6,69,19,0.18,RU,1698615734
294,balabac,7.9868,117.0645,81.93,78,41,9.86,PH,1698615734
295,kibaya,-5.3,36.5667,64.6,69,51,6.51,TZ,1698615734
296,saint croix,17.7397,-64.7388,84.65,86,0,6.91,VI,1698615734
297,chibougamau,49.9168,-74.3659,29.82,64,100,4.61,CA,1698615734
298,jumla,29.2747,82.1838,44.17,75,0,4.74,NP,1698615735
299,shanwei,22.782,115.3475,73.35,81,89,8.88,CN,1698615735
300,katoomba,-33.7198,150.3074,69.85,29,27,3.0,AU,1698615735
301,shimoda,34.6667,138.95,55.11,65,0,2.82,JP,1698615735
302,hasaki,35.7333,140.8333,50.4,66,0,17.87,JP,1698615527
303,kyzyl-suu,42.3414,78.0056,48.4,50,100,7.45,KG,1698615735
304,oltinko'l,40.8011,72.1634,64.54,37,79,3.49,UZ,1698615735
305,bereznik,62.8551,42.7072,23.05,97,94,4.52,RU,1698615736
306,ta`u,-14.2336,-169.5144,80.67,81,42,14.65,AS,1698615736
307,singoli,24.9667,75.3,71.24,45,39,3.15,IN,1698615736
308,baneh,35.9975,45.8853,53.02,50,93,1.7,IR,1698615736
309,sirte,31.2089,16.5887,73.62,71,20,10.31,LY,1698615737
310,chonchi,-42.6128,-73.8092,42.12,71,54,12.06,CL,1698615737
311,babatngon,11.4238,124.8449,77.31,91,32,2.89,PH,1698615737
312,viana do castelo,41.6932,-8.8329,57.58,76,53,14.72,PT,1698615737
313,al hudaydah,14.7978,42.9545,83.61,74,91,12.12,YE,1698615737
314,byron bay,-28.65,153.6167,67.71,63,0,7.83,AU,1698615738
315,mora,11.0461,14.1401,83.03,35,28,2.71,CM,1698615738
316,yamba,-5.9,22.3,75.78,78,56,0.22,CD,1698615738
317,meulaboh,4.1363,96.1285,75.63,91,100,2.26,ID,1698615738
318,pontianak,-0.0333,109.3333,76.98,94,100,3.44,ID,1698615738
319,tual,-5.6667,132.75,81.27,81,100,10.11,ID,1698615739
320,nemuro,43.3236,145.575,49.41,70,17,8.97,JP,1698615711
321,aykhal,66.0,111.5,-15.23,99,44,4.32,RU,1698615739
322,las tablas,7.7667,-80.2833,82.54,76,100,6.89,PA,1698615739
323,jiuquan,39.7432,98.5174,49.01,29,54,3.31,CN,1698615739
324,jayapura,-2.5333,140.7,78.19,88,49,6.11,ID,1698615739
325,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,100,6.71,RU,1698615488
326,trindade,-16.6494,-49.4889,91.15,44,82,2.13,BR,1698615740
327,sabang,5.8933,95.3214,80.47,76,89,1.3,ID,1698615727
328,tafuna,-14.3358,-170.72,85.95,74,40,9.22,AS,1698615740
329,moree,-29.4667,149.85,71.26,43,0,17.94,AU,1698615741
330,tutong,4.8,114.65,77.09,90,96,3.4,BN,1698615741
331,bikenibeu village,1.3673,173.1241,85.96,74,20,4.61,KI,1698615741
332,acarau,-2.8856,-40.12,80.22,73,39,16.67,BR,1698615741
333,lazaro cardenas,17.9583,-102.2,84.38,74,29,10.2,MX,1698615529
334,hammerfest,70.6634,23.6821,23.45,80,40,0.0,NO,1698615611
335,palmer,42.1584,-72.3287,48.24,84,100,8.05,US,1698615542
336,noshiro,40.2039,140.0242,52.68,82,48,3.31,JP,1698615742
337,abu,24.6,72.7,64.47,37,51,3.18,IN,1698615742
338,vorkuta,67.5,64.0,-0.04,98,24,4.68,RU,1698615742
339,sainte-suzanne,-20.9061,55.6089,77.22,93,20,9.22,RE,1698615742
340,susuman,62.7833,148.1667,-0.02,99,96,1.01,RU,1698615742
341,undurkhaan,47.3194,110.6556,28.02,58,32,4.63,MN,1698615743
342,toliara,-23.35,43.6667,72.46,80,3,6.38,MG,1698615743
343,uberlandia,-18.9186,-48.2772,85.21,48,20,0.0,BR,1698615743
344,hovd,48.0056,91.6419,32.99,63,42,0.85,MN,1698615743
345,mukalla,14.5425,49.1242,78.93,71,99,4.85,YE,1698615743
346,fuyu,45.1833,124.8167,46.06,45,100,12.12,CN,1698615743
347,gargalianoi,37.0667,21.6333,67.35,76,44,7.11,GR,1698615743
348,neryungri,56.6709,124.6491,13.42,93,100,8.21,RU,1698615744
349,enewetak,11.3474,162.3373,83.66,76,50,20.04,MH,1698615706
350,port saint john's,-31.6229,29.5448,58.78,62,100,7.67,ZA,1698615744
351,shulan,44.4167,126.95,50.52,71,74,11.07,CN,1698615744
352,monte argentario,42.4345,11.1195,69.6,86,97,22.1,IT,1698615744
353,lompoc,34.6391,-120.4579,78.94,43,0,12.66,US,1698615745
354,vicuna,-30.0319,-70.7081,74.77,41,15,7.92,CL,1698615745
355,puerto armuelles,8.2833,-82.8667,84.18,75,36,10.0,PA,1698615745
356,bishkul,54.7803,69.1033,30.07,94,100,18.28,KZ,1698615745
357,kuybyshev,55.4475,78.3218,21.13,84,100,8.61,RU,1698615745
358,kill devil hills,36.0307,-75.676,75.22,66,0,12.66,US,1698615693
359,riacho de santana,-13.6092,-42.9389,87.35,28,44,11.1,BR,1698615745
360,kindu,-2.95,25.95,73.29,84,94,2.93,CD,1698615746
361,broken hill,-31.95,141.4333,63.5,36,30,9.51,AU,1698615506
362,ghat,24.9647,10.1728,79.57,20,11,7.49,LY,1698615746
363,plouzane,48.3833,-4.6167,55.45,77,75,17.27,FR,1698615746
364,vernon,50.2581,-119.2691,47.75,50,25,3.44,CA,1698615746
